name,density,format,feat_size,num_parts,time_select(s),time_num_parts(s),time_bucket(s),time_exe_our(s)
bert.encoder.layer.4.attention.output.dense.weight,0.025270250108506944,CELL,512,1,0.005807843059301376,0.005151905119419098,0.03859935887157917,0.024672410000000002
bert.encoder.layer.4.intermediate.dense.weight,0.14203431871202257,CELL,512,2,0.0063874926418066025,0.005622865632176399,0.8443517312407494,0.2643413
bert.encoder.layer.4.output.dense.weight,0.08430269029405382,CELL,512,2,0.005952216684818268,0.0051682330667972565,0.5005387738347054,0.17030248
bert.encoder.layer.5.attention.self.query.weight,0.014790852864583334,CELL,512,1,0.0060642436146736145,0.0054552629590034485,0.023061325773596764,0.013538509999999998
bert.encoder.layer.5.attention.self.key.weight,0.019746568467881944,CELL,512,1,0.005784926936030388,0.0051014963537454605,0.030406707897782326,0.016690530000000002
bert.encoder.layer.5.attention.self.value.weight,0.022440592447916668,CELL,512,1,0.005846796557307243,0.0051062386482954025,0.03425474464893341,0.01941607
bert.encoder.layer.5.attention.output.dense.weight,0.021986219618055556,CELL,512,1,0.006149565801024437,0.005305008962750435,0.034122707322239876,0.024781390000000004
bert.encoder.layer.5.intermediate.dense.weight,0.12823274400499132,CELL,512,2,0.005860831588506699,0.005090739578008652,0.7626602835953236,0.23762463
bert.encoder.layer.5.output.dense.weight,0.07369571261935765,CELL,512,2,0.00589434988796711,0.005038207396864891,0.444963738322258,0.14602392000000003
bert.encoder.layer.6.attention.self.query.weight,0.013237847222222222,CELL,512,1,0.00584002397954464,0.005091102793812752,0.02050352841615677,0.01312765
bert.encoder.layer.6.attention.self.key.weight,0.016031901041666668,CELL,512,1,0.005854181945323944,0.005084464326500893,0.02503976970911026,0.01476057
bert.encoder.layer.6.attention.self.value.weight,0.01397705078125,CELL,512,1,0.005777906626462936,0.00501028448343277,0.02173740416765213,0.014122019999999999
bert.encoder.layer.6.attention.output.dense.weight,0.013329399956597222,CELL,512,1,0.005796883255243301,0.0050835683941841125,0.020741159096360207,0.01382691
bert.encoder.layer.6.intermediate.dense.weight,0.10454686482747395,CELL,512,2,0.0057735685259103775,0.005056736990809441,0.6255716104060411,0.19855486
bert.encoder.layer.6.output.dense.weight,0.0601289537217882,CELL,512,2,0.005740918219089508,0.005031287670135498,0.3579912707209587,0.12067809
bert.encoder.layer.7.attention.self.query.weight,0.013422648111979166,CELL,512,1,0.006328005343675613,0.005588991567492485,0.02063792757689953,0.01332584
bert.encoder.layer.7.attention.self.key.weight,0.017991807725694444,CELL,512,1,0.005802752450108528,0.005168495699763298,0.028027847409248352,0.015296789999999998
bert.encoder.layer.7.attention.self.value.weight,0.021660698784722224,CELL,512,1,0.005745828151702881,0.005076942965388298,0.033585868775844574,0.01843018
bert.encoder.layer.7.attention.output.dense.weight,0.017935858832465276,CELL,512,1,0.005769558250904083,0.005140900611877441,0.02774868533015251,0.02188449
bert.encoder.layer.7.intermediate.dense.weight,0.0732209947374132,CELL,512,2,0.006264369934797287,0.005542321130633354,0.43530529737472534,0.14293614
bert.encoder.layer.7.output.dense.weight,0.043609619140625,CELL,512,2,0.005878016352653503,0.0050887856632471085,0.2629562225192785,0.09023241000000001
bert.encoder.layer.8.attention.self.query.weight,0.0101318359375,CELL,512,1,0.005770726129412651,0.005151418969035149,0.015708396211266518,0.012102350000000001
bert.encoder.layer.8.attention.self.key.weight,0.012381659613715278,CELL,512,1,0.005764784291386604,0.005022427067160606,0.01892484724521637,0.013232060000000002
bert.encoder.layer.8.attention.self.value.weight,0.010511610243055556,CELL,512,1,0.005786783993244171,0.005072040483355522,0.016281120479106903,0.01250189
bert.encoder.layer.8.attention.output.dense.weight,0.009046766493055556,CELL,512,1,0.0057929810136556625,0.0051248930394649506,0.014567699283361435,0.012905340000000001
bert.encoder.layer.8.intermediate.dense.weight,0.04554112752278646,CELL,512,2,0.005801258608698845,0.005021171644330025,0.2749371435493231,0.11472323
bert.encoder.layer.8.output.dense.weight,0.028367360432942707,CELL,512,1,0.005814108997583389,0.005258636549115181,0.17086879163980484,0.06586573
bert.encoder.layer.9.attention.self.query.weight,0.022264268663194444,CELL,512,1,0.0058796219527721405,0.005195179954171181,0.03397543355822563,0.0202133
bert.encoder.layer.9.attention.self.key.weight,0.020556979709201388,CELL,512,1,0.00627300888299942,0.005026627331972122,0.032095227390527725,0.01914404
bert.encoder.layer.9.attention.self.value.weight,0.005001491970486111,CELL,512,1,0.005811512470245361,0.005123857408761978,0.007894493639469147,0.011866680000000001
bert.encoder.layer.9.attention.output.dense.weight,0.005001491970486111,CELL,512,1,0.00580066442489624,0.005186963826417923,0.008342718705534935,0.01014628
bert.encoder.layer.9.intermediate.dense.weight,0.012670728895399306,CELL,512,1,0.005731008946895599,0.005160514265298843,0.07793989405035973,0.03748348
bert.encoder.layer.9.output.dense.weight,0.007848951551649306,CELL,512,1,0.005915479734539986,0.005141517147421837,0.04812779277563095,0.0269567
bert.encoder.layer.10.attention.self.query.weight,0.014741685655381944,CELL,512,1,0.005795184522867203,0.005040900781750679,0.02274555154144764,0.01441309
bert.encoder.layer.10.attention.self.key.weight,0.014222886827256944,CELL,512,1,0.005802124738693237,0.005034606903791428,0.02211228385567665,0.014271730000000002
bert.encoder.layer.10.attention.self.value.weight,0.005001491970486111,CELL,512,1,0.005749639123678207,0.005000004544854164,0.008042758330702782,0.0072075
bert.encoder.layer.10.attention.output.dense.weight,0.005001491970486111,CELL,512,1,0.005737448111176491,0.00499408133327961,0.008605903014540672,0.00975522
bert.encoder.layer.10.intermediate.dense.weight,0.011185963948567709,CELL,512,1,0.005765400826931,0.005004744976758957,0.07046599872410297,0.03297145
bert.encoder.layer.10.output.dense.weight,0.00618743896484375,CELL,512,1,0.006483348086476326,0.005653422325849533,0.03874781355261803,0.02774197
bert.encoder.layer.11.attention.self.query.weight,0.006176418728298611,CELL,512,1,0.006039204075932503,0.005384000018239021,0.009974559769034386,0.00930132
bert.encoder.layer.11.attention.self.key.weight,0.00732421875,CELL,512,1,0.005783401429653168,0.0050830114632844925,0.011518659070134163,0.00860493
bert.encoder.layer.11.attention.self.value.weight,0.005001491970486111,CELL,512,1,0.005844308063387871,0.005055965855717659,0.007884703576564789,0.006989519999999999
bert.encoder.layer.11.attention.output.dense.weight,0.005001491970486111,CELL,512,1,0.005820974707603455,0.00510861910879612,0.008417271077632904,0.010534779999999999
bert.encoder.layer.11.intermediate.dense.weight,0.007242414686414931,CELL,512,1,0.005821660161018372,0.00515080988407135,0.044095104560256004,0.025878659999999998
bert.encoder.layer.11.output.dense.weight,0.005000220404730903,CELL,512,1,0.00578027218580246,0.00503423810005188,0.031252454966306686,0.02231551
